kode,string
6002,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Industri Logam Dasar  adalah senilai Rp 131.108.328.599
6003,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Industri Makanan dan Minuman  adalah senilai Rp 89.660.231.314.563
6004,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Industri Mesin dan Perlengkapan YTDL adalah senilai Rp 4.800.817.745
6005,"Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan adalah senilai Rp 471.788.399.988"
6006,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Industri Pengolahan Tembakau adalah senilai Rp 130.991.769
6007,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Industri Tekstil dan Pakaian Jadi adalah senilai Rp 371.033.639.469
6008,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Jasa Informasi dan Komunikasi adalah senilai Rp 12.248.323.110.814
6009,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Jasa Kesehatan dan Kegiatan Sosial adalah senilai Rp 5.320.870.953.715
6010,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Jasa Keuangan Lainnya adalah senilai Rp 562.428.867.517
6011,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Jasa Lainnya adalah senilai Rp 7.405.056.461.937
6012,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Jasa Pendidikan adalah senilai Rp 9.017.460.456.720
6013,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Jasa Penunjang Keuangan adalah senilai Rp 176.223.634.093
6014,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Jasa Perantara Keuangan Selain Bank Sentral adalah senilai Rp 5.735.597.141.450
6015,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Jasa Pertanian dan Perburuan   adalah senilai Rp 1.200.283.162.511
6016,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Jasa Perusahaan adalah senilai Rp 6.043.722.708.674
6017,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Kehutanan dan Penebangan Kayu adalah senilai Rp 28.011.350.582.617
6018,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Ketenagalistrikan  adalah senilai Rp 1.118.186.170.620
6019,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Konstruksi adalah senilai Rp 45.776.159.122.417
6020,"Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang adalah senilai Rp 240.979.488.962"
6021,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Pengadaan Gas dan Produksi Es adalah senilai Rp 348.478.906.404
6022,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Penyediaan Akomodasi  adalah senilai Rp 2.596.429.215.329
6023,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Penyediaan Makan Minum adalah senilai Rp 2.942.227.460.807
6024,"Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor adalah senilai Rp 56.731.720.785.497"
6025,"Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Perdagangan Mobil, Sepeda Motor dan Reparasinya adalah senilai Rp 8.210.324.511.858"
6026,"Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir adalah senilai Rp 1.479.761.724.770"
6027,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Perikanan  adalah senilai Rp 5.985.293.913.626
6028,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Perkebunan Semusim dan Tahunan adalah senilai Rp 76.591.783.400.259
6029,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Pertambangan Batubara dan Lignit adalah senilai Rp 294.276.589.048
6030,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Pertambangan Bijih Logam adalah senilai Rp 33.209.676.967
6031,"Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Pertambangan Minyak, Gas dan Panas Bumi adalah senilai Rp 56.475.348.444.092"
6032,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Pertambangan dan Penggalian Lainnya adalah senilai Rp 17.327.515.383.657
6033,"Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Pertanian Tanaman Hortikultura Semusim, Hortikultura Tahunan, dan Lainnya adalah senilai Rp 3.058.876.110.003"
6034,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Pertanian Tanaman Pangan  adalah senilai Rp 1.450.291.123.940
6035,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Peternakan  adalah senilai Rp 3.001.222.217.250
6036,Total PDRB Provinsi Riau yang berasal dari PDRB PRODUKSI komponen Real Estate adalah senilai Rp 10.968.652.156.187
6037,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PENDAPATAN komponen Kompensasi Tenaga Kerja adalah senilai Rp 12.693.944.233.236
6038,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PENDAPATAN komponen Pajak Neto Subsidi Atas Produksi adalah senilai Rp 220.140.594.325
6039,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PENDAPATAN komponen Surplus Usaha (termasuk pendapatan campuran) Bruto adalah senilai Rp 19.682.573.022.908
6040,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PENGELUARAN komponen Konsumsi LNPRT adalah senilai Rp 276.796.360.038
6041,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PENGELUARAN komponen Konsumsi Pemerintah adalah senilai Rp 6.525.872.557.140
6042,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PENGELUARAN komponen Konsumsi Rumah Tangga adalah senilai Rp 18.175.095.239.086
6043,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PENGELUARAN komponen Pembentukan Modal Tetap Bruto adalah senilai Rp 11.056.915.689.012
6044,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PENGELUARAN komponen Perubahan Inventori adalah senilai Rp -205.567.250.573
6045,"Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib adalah senilai Rp 2.627.361.412.029"
6046,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Angkutan Darat adalah senilai Rp 719.791.777.585
6047,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Angkutan Laut  adalah senilai Rp 79.541.550.547
6048,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Angkutan Rel  adalah senilai Rp 0
6049,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Angkutan Sungai Danau dan Penyeberangan adalah senilai Rp 44.291.751.094
6050,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Angkutan Udara adalah senilai Rp 126.620.874.322
6051,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Asuransi dan Dana Pensiun adalah senilai Rp 143.258.284.963
6052,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Industri Alat Angkutan adalah senilai Rp 2.914.503.917
6053,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Industri Barang Galian bukan Logam adalah senilai Rp 120.079.745.888
6054,"Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik adalah senilai Rp 101.444.615.794"
6055,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Industri Batubara dan Pengilangan Migas adalah senilai Rp 0
6056,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Industri Furnitur adalah senilai Rp 5.386.620.860
6057,"Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Industri Karet, Barang dari Karet dan Plastik adalah senilai Rp 335.878.551"
6058,"Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya  adalah senilai Rp 12.743.962.813"
6059,"Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman  adalah senilai Rp 4.667.446.517"
6060,"Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Industri Kimia, Farmasi dan Obat Tradisional adalah senilai Rp 2.912.156.908"
6061,"Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Industri Kulit, Barang dari Kulit dan Alas Kaki  adalah senilai Rp 9.343.572"
6062,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Industri Logam Dasar  adalah senilai Rp 0
6063,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Industri Makanan dan Minuman  adalah senilai Rp 1.753.422.951.257
6064,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Industri Mesin dan Perlengkapan YTDL adalah senilai Rp 0
6065,"Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan adalah senilai Rp 61.767.869.559"
6066,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Industri Pengolahan Tembakau adalah senilai Rp 0
6067,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Industri Tekstil dan Pakaian Jadi adalah senilai Rp 32.903.655.047
6068,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Jasa Informasi dan Komunikasi adalah senilai Rp 1.183.460.686.084
6069,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Jasa Kesehatan dan Kegiatan Sosial adalah senilai Rp 402.993.880.486
6070,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Jasa Keuangan Lainnya adalah senilai Rp 137.652.837.241
6071,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Jasa Lainnya adalah senilai Rp 538.756.521.234
6072,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Jasa Pendidikan adalah senilai Rp 1.345.474.361.255
6073,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Jasa Penunjang Keuangan adalah senilai Rp 919.661.527
6074,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Jasa Perantara Keuangan Selain Bank Sentral adalah senilai Rp 713.194.552.690
6075,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Jasa Pertanian dan Perburuan   adalah senilai Rp 106.422.595.271
6076,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Jasa Perusahaan adalah senilai Rp 192.172.931.979
6077,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Kehutanan dan Penebangan Kayu adalah senilai Rp 285.211.888.916
6078,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Ketenagalistrikan  adalah senilai Rp 21.282.804.768
6079,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Konstruksi adalah senilai Rp 1.773.275.164.868
6080,"Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang adalah senilai Rp 329.721.161.455"
6081,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Pengadaan Gas dan Produksi Es adalah senilai Rp 12.674.016.111
6082,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Penyediaan Akomodasi  adalah senilai Rp 78.870.902.098
6083,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Penyediaan Makan Minum adalah senilai Rp 283.287.182.731
6084,"Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor adalah senilai Rp 3.353.710.309.102"
6085,"Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Perdagangan Mobil, Sepeda Motor dan Reparasinya adalah senilai Rp 519.062.183.841"
6086,"Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir adalah senilai Rp 44.337.906.882"
6087,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Perikanan  adalah senilai Rp 4.256.607.888.468
6088,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Perkebunan Semusim dan Tahunan adalah senilai Rp 5.812.179.577.706
6089,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Pertambangan Batubara dan Lignit adalah senilai Rp 0
6090,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Pertambangan Bijih Logam adalah senilai Rp 0
6091,"Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Pertambangan Minyak, Gas dan Panas Bumi adalah senilai Rp 0"
6092,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Pertambangan dan Penggalian Lainnya adalah senilai Rp 923.573.394.777
6093,"Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Pertanian Tanaman Hortikultura Semusim, Hortikultura Tahunan, dan Lainnya adalah senilai Rp 887.509.920.006"
6094,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Pertanian Tanaman Pangan  adalah senilai Rp 1.472.891.293.665
6095,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Peternakan  adalah senilai Rp 1.033.940.409.032
6096,Total PDRB Provinsi Sulawesi Barat yang berasal dari PDRB PRODUKSI komponen Real Estate adalah senilai Rp 1.048.019.417.051
6097,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PENDAPATAN komponen Kompensasi Tenaga Kerja adalah senilai Rp 132.214.633.014.045
6098,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PENDAPATAN komponen Pajak Neto Subsidi Atas Produksi adalah senilai Rp 8.120.040.163.649
6099,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PENDAPATAN komponen Surplus Usaha (termasuk pendapatan campuran) Bruto adalah senilai Rp 233.681.925.011.778
6100,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PENGELUARAN komponen Konsumsi LNPRT adalah senilai Rp 4.544.823.543.563
6101,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PENGELUARAN komponen Konsumsi Pemerintah adalah senilai Rp 37.747.453.162.334
6102,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PENGELUARAN komponen Konsumsi Rumah Tangga adalah senilai Rp 199.898.546.981.672
6103,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PENGELUARAN komponen Pembentukan Modal Tetap Bruto adalah senilai Rp 141.475.862.975.817
6104,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PENGELUARAN komponen Perubahan Inventori adalah senilai Rp 598.664.327.500
6105,"Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib adalah senilai Rp 14.205.916.311.648"
6106,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Angkutan Darat adalah senilai Rp 8.815.838.692.013
6107,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Angkutan Laut  adalah senilai Rp 1.984.725.537.144
6108,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Angkutan Rel  adalah senilai Rp 0
6109,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Angkutan Sungai Danau dan Penyeberangan adalah senilai Rp 419.943.630.882
6110,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Angkutan Udara adalah senilai Rp 9.455.533.025.051
6111,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Asuransi dan Dana Pensiun adalah senilai Rp 1.693.181.888.838
6112,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Industri Alat Angkutan adalah senilai Rp 119.447.900.689
6113,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Industri Barang Galian bukan Logam adalah senilai Rp 21.530.762.500.426
6114,"Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik adalah senilai Rp 717.167.240.161"
6115,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Industri Batubara dan Pengilangan Migas adalah senilai Rp 0
6116,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Industri Furnitur adalah senilai Rp 868.616.647.388
6117,"Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Industri Karet, Barang dari Karet dan Plastik adalah senilai Rp 102.729.459.843"
6118,"Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya  adalah senilai Rp 921.148.860.138"
6119,"Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman  adalah senilai Rp 316.865.482.846"
6120,"Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Industri Kimia, Farmasi dan Obat Tradisional adalah senilai Rp 181.093.370.053"
6121,"Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Industri Kulit, Barang dari Kulit dan Alas Kaki  adalah senilai Rp 21.216.122.155"
6122,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Industri Logam Dasar  adalah senilai Rp 2.100.812.811.137
6123,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Industri Makanan dan Minuman  adalah senilai Rp 28.478.188.151.826
6124,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Industri Mesin dan Perlengkapan YTDL adalah senilai Rp 932.893.992.250
6125,"Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan adalah senilai Rp 1.399.911.658.665"
6126,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Industri Pengolahan Tembakau adalah senilai Rp 52.877.737.423
6127,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Industri Tekstil dan Pakaian Jadi adalah senilai Rp 1.999.389.369.633
6128,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Jasa Informasi dan Komunikasi adalah senilai Rp 13.352.366.798.473
6129,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Jasa Kesehatan dan Kegiatan Sosial adalah senilai Rp 5.308.701.493.903
6130,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Jasa Keuangan Lainnya adalah senilai Rp 1.711.282.288.065
6131,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Jasa Lainnya adalah senilai Rp 7.013.579.002.821
6132,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Jasa Pendidikan adalah senilai Rp 16.985.149.446.878
6133,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Jasa Penunjang Keuangan adalah senilai Rp 479.277.997.897
6134,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Jasa Perantara Keuangan Selain Bank Sentral adalah senilai Rp 10.908.295.266.188
6135,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Jasa Pertanian dan Perburuan   adalah senilai Rp 1.300.668.028.214
6136,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Jasa Perusahaan adalah senilai Rp 4.227.572.331.116
6137,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Kehutanan dan Penebangan Kayu adalah senilai Rp 467.312.070.898
6138,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Ketenagalistrikan  adalah senilai Rp 1.040.317.709.246
6139,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Konstruksi adalah senilai Rp 45.907.259.553.493
6140,"Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang adalah senilai Rp 544.925.093.122"
6141,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Pengadaan Gas dan Produksi Es adalah senilai Rp 104.351.033.787
6142,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Penyediaan Akomodasi  adalah senilai Rp 1.499.828.061.819
6143,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Penyediaan Makan Minum adalah senilai Rp 8.339.935.901.749
6144,"Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor adalah senilai Rp 41.380.320.562.383"
6145,"Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Perdagangan Mobil, Sepeda Motor dan Reparasinya adalah senilai Rp 12.746.776.399.691"
6146,"Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir adalah senilai Rp 5.907.610.788.544"
6147,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Perikanan  adalah senilai Rp 25.305.552.609.147
6148,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Perkebunan Semusim dan Tahunan adalah senilai Rp 10.738.172.944.657
6149,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Pertambangan Batubara dan Lignit adalah senilai Rp 36.762.848.480
6150,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Pertambangan Bijih Logam adalah senilai Rp 1.022.627.964.634
6151,"Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Pertambangan Minyak, Gas dan Panas Bumi adalah senilai Rp 1.019.976.367.472"
6152,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Pertambangan dan Penggalian Lainnya adalah senilai Rp 8.468.823.752.753
6153,"Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Pertanian Tanaman Hortikultura Semusim, Hortikultura Tahunan, dan Lainnya adalah senilai Rp 6.495.683.491.366"
6154,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Pertanian Tanaman Pangan  adalah senilai Rp 23.473.662.081.025
6155,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Peternakan  adalah senilai Rp 7.718.915.171.768
6156,Total PDRB Provinsi Sulawesi Selatan yang berasal dari PDRB PRODUKSI komponen Real Estate adalah senilai Rp 14.192.630.739.673
6157,Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PENDAPATAN komponen Kompensasi Tenaga Kerja adalah senilai Rp 40.020.811.706.931
6158,Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PENDAPATAN komponen Pajak Neto Subsidi Atas Produksi adalah senilai Rp 733.898.394.127
6159,Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PENDAPATAN komponen Surplus Usaha (termasuk pendapatan campuran) Bruto adalah senilai Rp 73.263.946.339.415
6160,Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PENGELUARAN komponen Konsumsi LNPRT adalah senilai Rp 2.044.200.230.230
6161,Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PENGELUARAN komponen Konsumsi Pemerintah adalah senilai Rp 16.395.065.198.007
6162,Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PENGELUARAN komponen Konsumsi Rumah Tangga adalah senilai Rp 53.326.575.837.371
6163,Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PENGELUARAN komponen Pembentukan Modal Tetap Bruto adalah senilai Rp 55.081.429.118.616
6164,Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PENGELUARAN komponen Perubahan Inventori adalah senilai Rp 250.629.104.380
6165,"Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PRODUKSI komponen Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib adalah senilai Rp 6.220.722.767.006"
6166,Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PRODUKSI komponen Angkutan Darat adalah senilai Rp 1.743.925.032.138
6167,Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PRODUKSI komponen Angkutan Laut  adalah senilai Rp 224.519.397.463
6168,Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PRODUKSI komponen Angkutan Rel  adalah senilai Rp 0
6169,Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PRODUKSI komponen Angkutan Sungai Danau dan Penyeberangan adalah senilai Rp 72.023.862.875
6170,Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PRODUKSI komponen Angkutan Udara adalah senilai Rp 1.757.821.502.119
6171,Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PRODUKSI komponen Asuransi dan Dana Pensiun adalah senilai Rp 418.060.753.897
6172,Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PRODUKSI komponen Industri Alat Angkutan adalah senilai Rp 41.447.442.838
6173,Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PRODUKSI komponen Industri Barang Galian bukan Logam adalah senilai Rp 2.571.335.210.888
6174,"Total PDRB Provinsi Sulawesi Tengah yang berasal dari PDRB PRODUKSI komponen Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik adalah senilai Rp 210.015.051.951"
